week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,recall_tr_num,block,rep,condition,name,audio,tr_dur
1,1,2,1,43,1,1,1,low,sarl,C31,3000
1,1,2,1,44,2,2,1,high,pyzer,A3,3000
1,1,2,1,45,3,2,1,low,foob,J3,3000
1,1,2,1,46,4,1,1,high,juss,E1,3000
1,1,2,1,47,5,1,1,high,koba,G3,3000
1,1,2,1,48,6,2,1,low,modi,A33,3000
1,1,2,1,49,7,2,2,high,pyzer,A3,3000
1,1,2,1,50,8,1,2,high,juss,E1,3000
1,1,2,1,51,9,1,2,low,sarl,C31,3000
1,1,2,1,52,10,2,2,low,modi,A33,3000
1,1,2,1,53,11,1,2,high,koba,G3,3000
1,1,2,1,54,12,2,2,low,foob,J3,3000
2,1,2,2,43,1,1,1,high,darg,A1,3000
2,1,2,2,44,2,2,1,low,chev,E3,3000
2,1,2,2,45,3,1,1,low,gazzer,I1,3000
2,1,2,2,46,4,2,1,high,heab,J2,3000
2,1,2,2,47,5,2,1,high,wilp,B23,3000
2,1,2,2,48,6,1,1,low,kulp,B2,3000
2,1,2,2,49,7,2,2,high,wilp,B23,3000
2,1,2,2,50,8,1,2,low,kulp,B2,3000
2,1,2,2,51,9,1,2,low,gazzer,I1,3000
2,1,2,2,52,10,2,2,high,heab,J2,3000
2,1,2,2,53,11,2,2,low,chev,E3,3000
2,1,2,2,54,12,1,2,high,darg,A1,3000
